name,likes,downloads,last_modified,decision_score
danny481/DialoGPT-small-datnguyenchatbot,0,19,2021-12-29 11:41:26+00:00,-0.0491321009573405
danny481/Final_ChatBot,0,19,2021-12-29 16:59:15+00:00,-0.0008644291462257
danny911kr/calm-mix-large,0,13,2021-09-16 07:23:19+00:00,-0.0029128309988294
danurahul/RuGPT3_german20,0,19,2021-05-21 15:12:32+00:00,-0.0437929141039621
danurahul/alex-gpt-doc2text,0,20,2021-05-21 15:15:09+00:00,-0.0807505428088593
danurahul/alex-gpt2000,0,19,2021-05-21 15:17:14+00:00,-0.0121482532321206
danurahul/alex_gpt3_Doctextfull,0,34,2023-05-17 07:24:08+00:00,-0.0905412158000289
danurahul/alex_gpt3_endoftext,0,19,2021-05-21 15:20:28+00:00,-0.0470432915980855
danurahul/german_gpt_4g,0,37,2023-05-17 07:23:57+00:00,-0.0317976939695798
danurahul/yoav_gpt_neo1.3B,0,2,2021-06-18 03:52:45+00:00,-0.0730416256230162
danurahul/yoav_gpt_neo1.3B_delimiter,0,1,2021-06-19 02:27:20+00:00,-0.0955236530915351
danurahul/yoav_neo_spaces,0,2,2021-06-28 07:34:43+00:00,-0.0462061947290364
darkzek/chickenbot-jon-snow,0,20,2022-02-17 01:51:40+00:00,-0.0165781184445316
darthboii/DialoGPT-small-PickleRick,0,18,2021-09-15 07:48:25+00:00,-0.0078063639195888
day/first-bot-large,0,19,2022-01-14 11:29:09+00:00,-0.0278968179449017
day/first-bot-medium,0,20,2022-01-14 12:52:36+00:00,-0.0084713999341601
day/first-bot-small,0,19,2022-01-14 10:50:45+00:00,-0.0101700874266361
day/her-bot-small,0,19,2022-01-16 15:49:15+00:00,-0.0095300871949672
dead69/GPT-small-yoda,0,21,2022-01-09 11:24:39+00:00,-0.0103525354959508
dhanushlnaik/amySan,0,19,2021-08-28 06:39:36+00:00,-0.0133006982084766
dhlpricing/MyGPT2TG-cased-v1,0,21,2021-11-19 16:43:44+00:00,-0.0422138195508081
digit82/kogpt2-summarization,0,25,2021-09-22 14:45:06+00:00,-0.036020979029845
disdamoe/DialoGPT-small-moe,0,32,2021-09-25 19:24:10+00:00,-0.0962735021308784
dk16gaming/DialoGPT-small-HarryPotter,0,19,2021-09-21 01:57:24+00:00,-0.0771543231714005
dkleczek/papuGaPT2-finetuned-wierszyki,0,20,2021-10-23 20:37:11+00:00,-0.0297568005663297
donggyu/mnmt_decoder_ko,0,20,2021-12-20 06:22:18+00:00,-0.0293335117302503
dracoglacius/NTDB-GPT2,0,19,2021-12-11 20:27:04+00:00,-0.1329110929622604
dreamline2/DialoGPT-small-joshua-demo,0,19,2022-01-22 07:26:52+00:00,-0.0221434952949212
